Video_URL,Video_Name
https://www.youtube.com/watch?v=ZzxOwbWCtBE,Kale Salad with Lemon Dill Dressing | Healthy Lunch Ideas
https://www.youtube.com/watch?v=A9ZIe_oJHE0,Rainbow Detox Salad | Healthy Salad Recipe
https://www.youtube.com/watch?v=48KSOjni7gA,Quick and Healthy Lunch Ideas for Lazy Days | Collab with Fablunch
https://www.youtube.com/watch?v=vVPY3Ul2ee4,Mini Greek Salad Recipe | Healthy Snack Ideas
https://www.youtube.com/watch?v=zdrUdD2khJo,What I Eat in a Day | Healthy Summer Recipes
https://www.youtube.com/watch?v=ds7X7HuM6Zo,Fall Detox Kale Salad | EASY & HEALTHY  Recipes
https://www.youtube.com/watch?v=UcZa7WhfLLg,Warm Crispy Mushroom Salad Recipe | EASY Dinner Recipe
https://www.youtube.com/watch?v=G69o0cDXGpk,3 Healthy Salad Dressing Recipes | How to Make Salad Dressing
https://www.youtube.com/watch?v=OmlCXdsu7L0,3 Homemade Salad Dressing Recipe | EASY & HEALTHY RECIPES
https://www.youtube.com/watch?v=N1YjitGGpyI,BEAUTY DETOX SALAD | Healthy Salad Recipes
https://www.youtube.com/watch?v=aIYRLKcf4f4,3 MUST TRY Summer Salad Recipes!
https://www.youtube.com/watch?v=3vp_oLQa0Ic,3 EASY HEALTHY FALL SALAD RECIPES | Healthy Dinner Recipes
https://www.youtube.com/watch?v=m_YMMqiGWME,Grilled Veggie Salad with Homemade Chimichurri | How to Grill
